cohort,outcome,outcome_label,native_unit,n,mean,sd,median,q1,q3
Wuhan,volume,Semen volume,mL,17268,3.46,1.28,3.2,2.4,4.0
Wuhan,sc_pre,Pre-freezing sperm concentration,x10^6/mL,17268,66.4,7.52,64.0,60.0,69.0
Wuhan,tsc,Total sperm count,x10^6 per ejaculate,17268,228.92,86.6,210.0,158.0,272.0
Wuhan,pr_pre,Pre-freezing progressive motility,percentage points,17268,62.83,3.19,62.0,60.0,64.0
Wuhan,im_pre,Pre-freezing immotile fraction,percentage points,17268,31.95,3.77,32.0,30.0,35.0
Wuhan,sc_post,Post-thaw sperm concentration,x10^6/mL,17268,44.99,6.51,44.0,40.0,48.0
Wuhan,pr_post,Post-thaw progressive motility,percentage points,17268,44.08,4.92,43.0,40.0,46.0
Wuhan,np_post,Post-thaw non-progressive motility,percentage points,17268,5.3,2.48,5.0,3.0,7.0
Chongqing,volume,Semen volume,mL,8144,4.06,1.37,3.89,3.08,4.84
Chongqing,sc_pre,Pre-freezing sperm concentration,x10^6/mL,8144,89.67,21.39,84.0,75.0,100.0
Chongqing,tsc,Total sperm count,x10^6 per ejaculate,8144,357.58,130.62,339.76,265.51,427.32
Chongqing,pr_pre,Pre-freezing progressive motility,percentage points,8144,54.13,3.91,53.0,51.0,56.0
Chongqing,im_pre,Pre-freezing immotile fraction,percentage points,8144,43.59,4.76,45.0,41.0,47.0
Chongqing,sc_post,Post-thaw sperm concentration,x10^6/mL,8144,59.56,8.83,60.0,53.0,65.0
Chongqing,pr_post,Post-thaw progressive motility,percentage points,8144,38.28,5.82,40.0,34.0,41.0
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,8144,2.3,2.1,2.0,0.0,4.0
