city,outcome,window,expo,n_full,base_full_beta,base_full_se,base_full_p,n_sub,base_sub_beta,base_sub_se,base_sub_p,adj_beta,adj_se,adj_p,label
Wuhan,sc_pre,w70_90,tmax,35424,-0.0121,0.0017,1.0240274790394551e-12,7637.0,0.0012,0.005,0.8124354051956544,-0.0076,0.0078,0.3327790061218334,coverage_power_loss
Wuhan,sc_pre,w70_90,anyhw3,35424,-0.1266,0.0232,4.660270107553921e-08,7637.0,-0.0966,0.0468,0.0392742446516633,-0.1314,0.0487,0.007008459352441576,ROBUST_to_pollution
Wuhan,sc_pre,w70_90,hwp95,35424,-0.0258,0.0039,3.340357887680434e-11,,,,,,,,coverage_power_loss
Wuhan,sc_pre,w0_90,tmax,33627,-0.0133,0.0019,1.880168349142786e-12,6639.0,0.0131,0.0073,0.07112696840331119,0.0467,0.0177,0.008427174505285944,coverage_power_loss
Wuhan,sc_pre,w0_90,anyhw3,33627,-0.055,0.0211,0.009360581070361983,6639.0,0.1155,0.0399,0.003812103573913099,0.1554,0.0474,0.0010405776046420224,ROBUST_to_pollution
Wuhan,sc_pre,w0_90,hwp95,33627,-0.0137,0.0022,2.659669110829366e-10,,,,,,,,coverage_power_loss
Wuhan,tsc,w70_90,tmax,34709,-0.0077,0.0017,6.512562911803095e-06,7430.0,0.0042,0.0062,0.49612052889843106,0.0016,0.0088,0.8542303610282874,coverage_power_loss
Wuhan,tsc,w70_90,anyhw3,34709,-0.103,0.0247,3.05797969908578e-05,7430.0,-0.0713,0.0512,0.1640814139447293,-0.1299,0.0537,0.015637878494080215,coverage_power_loss
Wuhan,tsc,w70_90,hwp95,34709,-0.0262,0.0033,2.9561237067527654e-15,,,,,,,,coverage_power_loss
Wuhan,tsc,w0_90,tmax,32975,-0.0066,0.0019,0.00042635924491830305,6469.0,-0.0057,0.0086,0.5057735602508604,0.0213,0.0186,0.2518603442741183,coverage_power_loss
Wuhan,tsc,w0_90,anyhw3,32975,-0.0827,0.0215,0.00012187353221720628,6469.0,-0.0186,0.0457,0.6837209016118706,0.0386,0.0496,0.43617619919034,coverage_power_loss
Wuhan,tsc,w0_90,hwp95,32975,-0.0121,0.0018,3.4407313694513464e-11,,,,,,,,coverage_power_loss
Wuhan,pr_pre,w70_90,tmax,34732,-0.0011,0.0017,0.5147058837921965,7443.0,-0.0072,0.0052,0.1671674813667403,-0.025,0.0082,0.0022465269844308667,null_base
Wuhan,pr_pre,w70_90,anyhw3,34732,-0.0431,0.0235,0.06697245335427293,7443.0,0.0173,0.0474,0.714937037564886,0.0032,0.05,0.9483943485282965,null_base
Wuhan,pr_pre,w70_90,hwp95,34732,-0.012,0.0039,0.001986024693758745,,,,,,,,coverage_power_loss
Wuhan,pr_pre,w0_90,tmax,32998,0.0008,0.0019,0.669038153337866,6482.0,0.0024,0.0074,0.7479546830508852,-0.0251,0.0179,0.1610326118733052,null_base
Wuhan,pr_pre,w0_90,anyhw3,32998,-0.014,0.0206,0.4954298156897894,6482.0,0.0504,0.0396,0.20388081647441003,0.0595,0.0471,0.206422242695935,null_base
Wuhan,pr_pre,w0_90,hwp95,32998,-0.0041,0.002,0.04009031974576879,,,,,,,,coverage_power_loss
Wuhan,volume,w70_90,tmax,34687,-0.0005,0.0017,0.7568554970136693,7423.0,-0.0047,0.006,0.44012571731269545,0.001,0.009,0.908450045624361,null_base
Wuhan,volume,w70_90,anyhw3,34687,-0.0326,0.0232,0.15856368463801096,7423.0,-0.1111,0.0543,0.04089046765278446,-0.1449,0.057,0.011021750330850042,null_base
Wuhan,volume,w70_90,hwp95,34687,-0.0107,0.0035,0.0019960921619977486,,,,,,,,coverage_power_loss
Wuhan,volume,w0_90,tmax,32956,0.0013,0.002,0.5173456964704092,6463.0,-0.0212,0.0089,0.017507867584548104,0.0152,0.0192,0.426696377610692,null_base
Wuhan,volume,w0_90,anyhw3,32956,-0.0535,0.0215,0.012935645532157846,6463.0,-0.105,0.0458,0.02182087701030936,-0.0212,0.0485,0.6618231512362858,attenuated_by_pollution
Wuhan,volume,w0_90,hwp95,32956,-0.0022,0.002,0.2582675791839011,,,,,,,,null_base
Wuhan,pr_post,w70_90,tmax,16709,-0.0163,0.0023,3.652475844974643e-12,4656.0,-0.0171,0.005,0.0005842407328156586,-0.0246,0.0092,0.007588985899693529,ROBUST_to_pollution
Wuhan,pr_post,w70_90,anyhw3,16709,-0.0577,0.0369,0.11741354925650946,4656.0,0.0151,0.0387,0.6957406720991444,0.0459,0.042,0.27366215979225084,null_base
Wuhan,pr_post,w70_90,hwp95,16709,-0.0125,0.006,0.03712183821199685,,,,,,,,coverage_power_loss
Wuhan,pr_post,w0_90,tmax,15544,-0.0137,0.0027,5.620620508521323e-07,3833.0,0.0012,0.0068,0.8637121787369836,-0.0366,0.0175,0.03676933488865107,coverage_power_loss
Wuhan,pr_post,w0_90,anyhw3,15544,-0.0486,0.0304,0.10990732661587066,3833.0,0.0033,0.0326,0.9185445727248855,-0.02,0.0431,0.6429828676871856,null_base
Wuhan,pr_post,w0_90,hwp95,15544,-0.0021,0.003,0.4798970405142038,,,,,,,,null_base
Chongqing,sc_pre,w70_90,tmax,20384,0.0081,0.002,4.305172361760758e-05,20384.0,0.0081,0.002,4.305172361760758e-05,0.0218,0.0041,1.0910480687101368e-07,ROBUST_to_pollution
Chongqing,sc_pre,w70_90,anyhw3,20384,0.0599,0.0309,0.05272145548674036,20384.0,0.0599,0.0309,0.05272145548674036,0.0759,0.0355,0.03249655324087551,null_base
Chongqing,sc_pre,w70_90,hwp95,20384,0.01,0.0045,0.026679258639043302,20384.0,0.01,0.0045,0.026679258639043302,0.0104,0.0045,0.022067777842665663,ROBUST_to_pollution
Chongqing,sc_pre,w0_90,tmax,20503,0.004,0.0024,0.08593960740977948,20503.0,0.004,0.0024,0.08593960740977948,0.0171,0.0067,0.010699100158898219,null_base
Chongqing,sc_pre,w0_90,anyhw3,20503,0.0359,0.0249,0.14961530888255917,20503.0,0.0359,0.0249,0.14961530888255917,0.0497,0.0268,0.06314361857739527,null_base
Chongqing,sc_pre,w0_90,hwp95,20503,0.0046,0.0022,0.04021028046308744,20503.0,0.0046,0.0022,0.04021028046308744,0.0085,0.0024,0.0004101959503108616,ROBUST_to_pollution
Chongqing,tsc,w70_90,tmax,20384,0.0034,0.0019,0.08313280201277379,20384.0,0.0034,0.0019,0.08313280201277379,0.0224,0.004,1.4695695484226159e-08,null_base
Chongqing,tsc,w70_90,anyhw3,20384,0.0317,0.0318,0.31853286673391135,20384.0,0.0317,0.0318,0.31853286673391135,0.0645,0.0366,0.07799826900028077,null_base
Chongqing,tsc,w70_90,hwp95,20384,0.0037,0.004,0.3438870500821154,20384.0,0.0037,0.004,0.3438870500821154,0.0042,0.004,0.29551953154683774,null_base
Chongqing,tsc,w0_90,tmax,20503,-0.0008,0.0024,0.7353456896233561,20503.0,-0.0008,0.0024,0.7353456896233561,0.027,0.0066,3.8704069347560654e-05,null_base
Chongqing,tsc,w0_90,anyhw3,20503,0.0372,0.0237,0.11656855337866155,20503.0,0.0372,0.0237,0.11656855337866155,0.065,0.026,0.012257333096015064,null_base
Chongqing,tsc,w0_90,hwp95,20503,0.0025,0.0021,0.2510566763228331,20503.0,0.0025,0.0021,0.2510566763228331,0.0064,0.0024,0.007308727197217276,null_base
Chongqing,pr_pre,w70_90,tmax,20384,0.0005,0.0019,0.809130537324032,20384.0,0.0005,0.0019,0.809130537324032,-0.0142,0.0039,0.00028861133266377037,null_base
Chongqing,pr_pre,w70_90,anyhw3,20384,-0.1179,0.0286,3.688450446915223e-05,20384.0,-0.1179,0.0286,3.688450446915223e-05,-0.1533,0.0331,3.6219351642772297e-06,ROBUST_to_pollution
Chongqing,pr_pre,w70_90,hwp95,20384,-0.0111,0.004,0.00613957703992028,20384.0,-0.0111,0.004,0.00613957703992028,-0.0105,0.0041,0.010011870724252846,ROBUST_to_pollution
Chongqing,pr_pre,w0_90,tmax,20503,0.0046,0.0022,0.03266135577265806,20503.0,0.0046,0.0022,0.03266135577265806,-0.0055,0.0062,0.37374338627812165,attenuated_by_pollution
Chongqing,pr_pre,w0_90,anyhw3,20503,-0.0565,0.0234,0.015587745762112722,20503.0,-0.0565,0.0234,0.015587745762112722,-0.0236,0.0258,0.3591534592713611,attenuated_by_pollution
Chongqing,pr_pre,w0_90,hwp95,20503,-0.0055,0.0019,0.003137600106469458,20503.0,-0.0055,0.0019,0.003137600106469458,-0.0042,0.0021,0.04695705057492806,ROBUST_to_pollution
Chongqing,volume,w70_90,tmax,20371,-0.0035,0.0019,0.07076655286563979,20371.0,-0.0035,0.0019,0.07076655286563979,0.0071,0.0044,0.10676905122767277,null_base
Chongqing,volume,w70_90,anyhw3,20371,-0.0143,0.0312,0.6472855509835764,20371.0,-0.0143,0.0312,0.6472855509835764,0.0094,0.0369,0.7996057781436885,null_base
Chongqing,volume,w70_90,hwp95,20371,-0.004,0.0045,0.36871895184984427,20371.0,-0.004,0.0045,0.36871895184984427,-0.004,0.0045,0.37222944992152385,null_base
Chongqing,volume,w0_90,tmax,20490,-0.0047,0.0025,0.056561074248358524,20490.0,-0.0047,0.0025,0.056561074248358524,0.0195,0.0073,0.007595318497704929,null_base
Chongqing,volume,w0_90,anyhw3,20490,0.0132,0.0259,0.6115323634360711,20490.0,0.0132,0.0259,0.6115323634360711,0.0303,0.0285,0.2873287190036513,null_base
Chongqing,volume,w0_90,hwp95,20490,-0.0005,0.0026,0.8335231544409893,20490.0,-0.0005,0.0026,0.8335231544409893,0.0007,0.0028,0.800293622971723,null_base
Chongqing,sc_post,w70_90,tmax,8096,-0.0014,0.0031,0.6586474767020161,8096.0,-0.0014,0.0031,0.6586474767020161,0.0144,0.0062,0.021084727033046518,null_base
Chongqing,sc_post,w70_90,anyhw3,8096,-0.0231,0.0451,0.6091092703456444,8096.0,-0.0231,0.0451,0.6091092703456444,0.0306,0.0522,0.5575420229210213,null_base
Chongqing,sc_post,w70_90,hwp95,8096,0.0095,0.0064,0.13886313728565225,8096.0,0.0095,0.0064,0.13886313728565225,0.0133,0.0065,0.04110749168103586,null_base
Chongqing,sc_post,w0_90,tmax,8143,-0.006,0.0035,0.08184458477268078,8143.0,-0.006,0.0035,0.08184458477268078,0.0296,0.01,0.003118030613043968,null_base
Chongqing,sc_post,w0_90,anyhw3,8143,0.0242,0.0359,0.5003186907699899,8143.0,0.0242,0.0359,0.5003186907699899,0.1472,0.0403,0.00025846272978397456,null_base
Chongqing,sc_post,w0_90,hwp95,8143,0.0004,0.0029,0.8939767492154691,8143.0,0.0004,0.0029,0.8939767492154691,0.0032,0.0034,0.33751250458700166,null_base
Chongqing,pr_post,w70_90,tmax,8096,0.0011,0.003,0.7226566986093127,8096.0,0.0011,0.003,0.7226566986093127,-0.0024,0.0066,0.7121152159725708,null_base
Chongqing,pr_post,w70_90,anyhw3,8096,-0.0842,0.0449,0.06084742292276021,8096.0,-0.0842,0.0449,0.06084742292276021,-0.0655,0.0543,0.22746772537934634,null_base
Chongqing,pr_post,w70_90,hwp95,8096,0.0043,0.0058,0.4638781379949529,8096.0,0.0043,0.0058,0.4638781379949529,0.0065,0.0059,0.274568113430845,null_base
Chongqing,pr_post,w0_90,tmax,8143,0.0049,0.0034,0.15545978494421372,8143.0,0.0049,0.0034,0.15545978494421372,0.0174,0.0102,0.08974539847557116,null_base
Chongqing,pr_post,w0_90,anyhw3,8143,-0.092,0.0356,0.009717697163458473,8143.0,-0.092,0.0356,0.009717697163458473,-0.0262,0.0398,0.5107172402075177,attenuated_by_pollution
