city,outcome,window,expo,n,ndonor,beta,se,ci_l,ci_u,p,sig,q
Chongqing,survival_post,w0_90,anyhw3,5869,1616,-0.3365577761347938,0.04034007323502661,-0.415624319675446,-0.25749123259414164,7.242088654014012e-17,*,1.3904810215706903e-14
Chongqing,survival_post,w70_90,anyhw3,5830,1614,-0.459277351165414,0.05586225779886042,-0.5687673764511805,-0.34978732587964756,2.0079959792624541e-16,*,1.927676140091956e-14
Wuhan,tsc,w70_90,hwp95,34709,10090,-0.026184246300403922,0.003317508406704341,-0.032686562777544434,-0.019681929823263413,2.9561237067527654e-15,*,1.89191917232177e-13
Wuhan,sc_pre,w70_90,tmax,35424,10226,-0.012054187785607554,0.0016912845264713075,-0.015369105457491317,-0.008739270113723791,1.024027479043155e-12,*,4.9153318994071444e-11
Wuhan,sc_pre,w0_90,tmax,33627,9790,-0.013313083801707514,0.0018902322133741334,-0.017017938939920815,-0.009608228663494213,1.880168349144856e-12,*,7.219846460716246e-11
Chongqing,np_post,w15_69,hw3,8143,2764,0.007856318946149516,0.0011291996245046104,0.00564308768212048,0.010069550210178552,3.465543198882768e-12,*,1.1089738236424857e-10
Wuhan,pr_post,w70_90,tmax,16709,3498,-0.01630744207548114,0.0023463895064491074,-0.020906365508121392,-0.01170851864284089,3.6524758449516556e-12,*,1.0018219460438826e-10
Wuhan,sc_pre,w15_69,tmax,34400,10146,-0.01158128482916786,0.0017020301392275193,-0.014917263902053798,-0.008245305756281922,1.014749901224154e-11,*,2.43539976293797e-10
Wuhan,sc_pre,w70_90,hw3,35424,10226,-0.015261714045040597,0.002247326668395281,-0.01966647431509535,-0.010856953774985845,1.1131817822767295e-11,*,2.3747878021903565e-10
Wuhan,sc_pre,w70_90,hwp95,35424,10226,-0.02576037188375236,0.0038849991689117757,-0.03337497025481944,-0.01814577351268528,3.3403578876804916e-11,*,6.413487144346543e-10
Wuhan,tsc,w0_90,hwp95,32975,9657,-0.012088447415664567,0.001824297715804972,-0.015664070938642312,-0.008512823892686823,3.440731369451396e-11,*,6.005640208496983e-10
Chongqing,survival_post,w15_69,anyhw3,5869,1616,-0.24381860176968476,0.03852846332024892,-0.3193343898773726,-0.1683028136619969,2.4792158380403527e-10,*,3.966745340864564e-09
Wuhan,sc_pre,w0_90,hwp95,33627,9790,-0.013741714832338594,0.002175210122598014,-0.0180051266726307,-0.009478302992046488,2.659669110829366e-10,*,3.928126686763371e-09
Chongqing,survival_post,w70_90,tmax,5830,1614,-0.0213626769131779,0.0033847006364292366,-0.0279966901605792,-0.014728663665776595,2.7627054787397174e-10,*,3.788853227985898e-09
Wuhan,tsc,w70_90,hw3,34709,10090,-0.01330271277501148,0.0021509120910021273,-0.01751850047337565,-0.00908692507664731,6.222677718094941e-10,*,7.965027479161525e-09
Chongqing,np_post,w0_90,hw3,8143,2764,0.005683777336784266,0.0009238599974204279,0.0038730117418402277,0.0074945429317283055,7.641236919984166e-10,*,9.169484303981e-09
Wuhan,sc_pre,w15_69,hwp95,34400,10146,-0.01612873533119505,0.0027890933581379714,-0.021595358313145473,-0.010662112349244624,7.347267503484351e-09,*,8.298090356876444e-08
Chongqing,np_post,w0_90,hwp95,8143,2764,0.011116040869267171,0.0019571334596271968,0.007280059288397865,0.014952022450136477,1.3488687980161434e-08,*,1.438793384550553e-07
Wuhan,tsc,w15_69,hwp95,33725,10009,-0.012765629019570414,0.0023261648423604842,-0.017324912110596963,-0.008206345928543864,4.068698811948389e-08,*,4.111527220495214e-07
Wuhan,sc_pre,w70_90,anyhw3,35424,10226,-0.12659697518343893,0.023170098606517867,-0.17201036845221396,-0.0811835819146639,4.660270107554415e-08,*,4.4738593032522385e-07
Wuhan,sc_pre,w0_90,hw3,33627,9790,-0.0057059845388397114,0.0010507106768599258,-0.007765377465485166,-0.003646591612194257,5.6166353029190805e-08,*,5.135209419811731e-07
Wuhan,sc_pre,w0_9,tmax,35384,10256,-0.007620533017560604,0.0015012594316762972,-0.010563001503646146,-0.004678064531475061,3.8527406381114064e-07,*,3.3623918296244997e-06
Wuhan,pr_post,w0_90,tmax,15544,3267,-0.013702045918943013,0.00273831891609115,-0.019069150994481667,-0.00833494084340436,5.620620508514726e-07,*,4.691996250586207e-06
Chongqing,survival_post,w0_90,tmax,5869,1616,-0.017297533232529354,0.003646531058500882,-0.02444473410719108,-0.010150332357867626,2.0999631002283704e-06,*,1.6799704801826964e-05
Wuhan,tsc,w0_90,hw3,32975,9657,-0.004291320815460517,0.0009204605553947432,-0.006095423504034214,-0.0024872181268868207,3.129301825550288e-06,*,2.4033038020226214e-05
Chongqing,np_post,w0_9,hw3,8092,2744,0.019149431167414136,0.004129273070821089,0.011056055948604803,0.02724280638622347,3.5267864036405125e-06,*,2.604396113457609e-05
Chongqing,survival_post,w15_69,tmax,5869,1616,-0.014116550286347406,0.0031133445474760585,-0.02021870559940048,-0.008014394973294332,5.782015863543106e-06,*,4.111655725186209e-05
