city,outcome,window,expo,n,ndonor,beta,se,p,q,ci_l,ci_u,sig
Chongqing,survival_post,w0_90,anyhw3,5869,1615,-0.3350502113468475,0.04031662844590425,9.532216546930529e-17,1.4870257813211626e-14,-0.4140708031008198,-0.2560296195928752,*
Chongqing,survival_post,w70_90,anyhw3,5869,1615,-0.4566933485693997,0.05585892851631533,2.9382535332288426e-16,2.291837755918497e-14,-0.5661768484613777,-0.34720984867742166,*
Chongqing,survival_post,w0_90,hwp95,5869,1615,-0.27327186614373766,0.0368211830460146,1.1571919871012851e-13,6.017398332926683e-12,-0.3454413849139263,-0.20110234737354904,*
Chongqing,pr_pre,w0_9,hwp95,8102,2745,-0.29608633837213605,0.04199337392677717,1.7790855142513476e-12,6.938433505580256e-11,-0.3783933512686193,-0.21377932547565281,*
Wuhan,pr_post,w70_90,tmax,16621,2688,-0.01719980344551723,0.0025024264621746448,6.275530886693836e-12,1.9579656366484768e-10,-0.022104559311379536,-0.012295047579654926,*
Chongqing,pr_pre,w15_69,hwp95,8143,2763,-0.257736135937016,0.03790118552674924,1.0446455705332439e-11,2.716078483386434e-10,-0.3320224595694445,-0.1834498123045875,*
Chongqing,np_post,w0_90,hwp95,8143,2763,0.19045792528870847,0.028262250897298172,1.5953413468632723e-11,3.5553321444381494e-10,0.13506391353000405,0.2458519370474129,*
Chongqing,survival_post,w70_90,tmax,5869,1615,-0.021311067354197986,0.003339720412083357,1.7582820371847683e-10,3.428649972510298e-09,-0.027856919361881366,-0.014765215346514607,*
Chongqing,survival_post,w15_69,anyhw3,5869,1615,-0.2438870701852546,0.03853028055746029,2.4555762357855727e-10,4.256332142028326e-09,-0.3194064200778768,-0.16836772029263242,*
Wuhan,sc_pre,w70_90,hwp95,16621,2688,-0.3031862281122098,0.048039936613701845,2.7700750647526185e-10,4.321317101014085e-09,-0.3973445038750654,-0.20902795234935417,*
Chongqing,pr_pre,w0_90,hwp95,8143,2763,-0.24225352680526285,0.03857546117437981,3.3859388205104275e-10,4.801876872723879e-09,-0.31786143070704725,-0.16664562290347845,*
Chongqing,np_post,w0_9,hwp95,8102,2745,0.2637566482832136,0.04456844244537369,3.2585304037909535e-09,4.236089524928239e-08,0.17640250109028116,0.35111079547614604,*
Wuhan,sc_pre,w15_69,tmax,16621,2688,-0.016505823910395293,0.002865342023447914,8.386145666688037e-09,9.512953456261576e-08,-0.022121894276353204,-0.010889753544437383,*
Wuhan,sc_pre,w0_90,tmax,16621,2688,-0.018598185356898715,0.0032302579611700266,8.53726592228603e-09,9.512953456261576e-08,-0.024929490960791965,-0.012266879753005463,*
Wuhan,sc_pre,w70_90,tmax,16621,2688,-0.014697392155223045,0.0026530159911057286,3.026777251892046e-08,3.1478483419677277e-07,-0.019897303497790272,-0.009497480812655817,*
Chongqing,pr_pre,w0_90,tmax,8143,2763,-0.01773744152675451,0.0033622410437529364,1.324077323946246e-07,1.2909753908475898e-06,-0.024327433972510266,-0.011147449080998757,*
Chongqing,pr_pre,w70_90,tmax,8143,2763,-0.015307916910935122,0.0030572801760308534,5.527412179155086e-07,5.072213529107021e-06,-0.021300186055955593,-0.00931564776591465,*
Chongqing,survival_post,w0_90,tmax,5869,1615,-0.017969208437913584,0.0036590483503099805,9.066084610722385e-07,7.857273329292735e-06,-0.025140943204521145,-0.010797473671306023,*
Chongqing,pr_pre,w70_90,anyhw3,8143,2763,-0.2192432759912741,0.04500341367532336,1.1064027159021675e-06,8.476971964204934e-06,-0.3074499667949079,-0.13103658518764033,*
Wuhan,sc_pre,w0_90,hwp95,16621,2688,-0.2403797243690986,0.04936082635459811,1.116840944131227e-06,8.476971964204934e-06,-0.3371269440241109,-0.1436325047140863,*
Chongqing,pr_pre,w15_69,tmax,8143,2763,-0.014067801866272916,0.002891281000966633,1.1411308413352795e-06,8.476971964204934e-06,-0.019734712628167516,-0.008400891104378316,*
Wuhan,tsc,w0_90,anyhw3,16621,2688,-0.15427866455604614,0.03254428393765587,2.1311106700299674e-06,1.511151202384886e-05,-0.21806546107385164,-0.09049186803824064,*
Wuhan,tsc,w15_69,anyhw3,16621,2688,-0.1468578932066222,0.031139667640920608,2.4040426478028144e-06,1.6305680567706046e-05,-0.2078916417828266,-0.08582414463041782,*
Chongqing,survival_post,w15_69,tmax,5869,1615,-0.014607194267887638,0.0031259843576765516,2.9707729021107747e-06,1.9310023863720034e-05,-0.020734123608933678,-0.008480264926841598,*
Chongqing,survival_post,w70_90,hwp95,5869,1615,-0.27062864499039085,0.05816932589630086,3.2804808150296336e-06,2.047020028578491e-05,-0.38464052374714053,-0.15661676623364118,*
Chongqing,pr_pre,w0_90,anyhw3,8143,2763,-0.18254111698414455,0.03944033575868271,3.687062601503943e-06,2.212237560902366e-05,-0.25984417507116264,-0.10523805889712644,*
Chongqing,np_post,w70_90,anyhw3,8143,2763,-0.15646153410043095,0.03585891266546845,1.281421820018794e-05,7.403770515664142e-05,-0.2267450029247491,-0.0861780652761128,*
Wuhan,volume,w0_90,anyhw3,16621,2688,-0.13842767650427432,0.03210718749939609,1.62207035971928e-05,9.037249147007417e-05,-0.20135776400309063,-0.07549758900545799,*
Chongqing,pr_post,w15_69,hwp95,8143,2763,-0.18053651262314582,0.04216302958484647,1.8533120251365896e-05,9.96954054901062e-05,-0.2631760506094449,-0.09789697463684675,*
Wuhan,tsc,w0_90,hwp95,16621,2688,-0.1961912122468256,0.04625999558041757,2.2247103625160013e-05,0.0001131392732432771,-0.28686080358444405,-0.10552162090920715,*
Wuhan,pr_post,w0_90,tmax,16621,2688,-0.01164220695702097,0.002746652258710476,2.248280429834353e-05,0.0001131392732432771,-0.017025645384093503,-0.006258768529948437,*
Wuhan,volume,w15_69,anyhw3,16621,2688,-0.127601751342761,0.03107389445812179,4.018782953074898e-05,0.00019337515430375125,-0.1885065844806797,-0.06669691820484229,*
Chongqing,survival_post,w15_69,hwp95,5869,1615,-0.14932132576411317,0.0364862408961051,4.26677374276839e-05,0.00019337515430375125,-0.22083435792047917,-0.07780829360774717,*
Wuhan,tsc,w70_90,hwp95,16621,2688,-0.20105812971355186,0.04915153184315358,4.3030116487425276e-05,0.00019337515430375125,-0.2973951321261329,-0.10472112730097084,*
Chongqing,np_post,w15_69,hwp95,8143,2763,0.1219890539873829,0.02983588050948762,4.3385451286098035e-05,0.00019337515430375125,0.06351072818878717,0.18046737978597863,*
Chongqing,pr_post,w0_90,hwp95,8143,2763,-0.16245557249244366,0.04024928685866782,5.4315857526181693e-05,0.00023536871594678733,-0.24134417473543257,-0.08356697024945474,*
Wuhan,pr_post,w70_90,hwp95,16621,2688,-0.20723687647516043,0.052516027396202376,7.941310584292476e-05,0.00033482282463503417,-0.3101682901717171,-0.10430546277860377,*
Chongqing,pr_pre,w15_69,anyhw3,8143,2763,-0.1589867159562395,0.04119111389275888,0.00011351081932070585,0.00046599178457973974,-0.2397212991860469,-0.0782521327264321,*
Wuhan,pr_post,w0_90,hwp95,16621,2688,-0.16797808203771822,0.04400454456007549,0.00013492586585066738,0.0005397034634026695,-0.2542269893754662,-0.08172917469997025,*
Wuhan,pr_post,w15_69,tmax,16621,2688,-0.00907924060412796,0.0024107965733514074,0.00016583402303001711,0.0006467526898170668,-0.013804401887896719,-0.004354079320359202,*
Wuhan,tsc,w15_69,hwp95,16621,2688,-0.1853351042909498,0.049651543358562006,0.00018942622594650974,0.0007207436889672078,-0.2826521292737313,-0.08801807930816827,*
