city,outcome,window,family,metric,beta,se,p,n
Wuhan,sc_pre,w70_90,threshold,ht30,-0.0153,0.002,1.870420326552787e-14,35424
Wuhan,sc_pre,w70_90,threshold,ht32,-0.0174,0.002,3.475926538782986e-18,35424
Wuhan,sc_pre,w70_90,threshold,ht35,-0.0172,0.0023,6.81279799248893e-14,35424
Wuhan,sc_pre,w70_90,threshold,htp90,-0.0201,0.0026,4.300861943948289e-15,35424
Wuhan,sc_pre,w70_90,threshold,htp95,-0.0236,0.0033,7.596969799982448e-13,35424
Wuhan,sc_pre,w70_90,duration,hw2,-0.0168,0.0022,7.404952828438316e-14,35424
Wuhan,sc_pre,w70_90,duration,hw3,-0.0153,0.0022,1.113181782276778e-11,35424
Wuhan,sc_pre,w70_90,duration,hw4,-0.0161,0.0023,5.870295446937125e-12,35424
Wuhan,sc_pre,w70_90,duration,hwp95,-0.0258,0.0039,3.340357887680434e-11,35424
Wuhan,sc_pre,w0_90,threshold,ht30,-0.003,0.0006,9.613835236880969e-08,33627
Wuhan,sc_pre,w0_90,threshold,ht32,-0.0035,0.0006,2.0548012657868027e-08,33627
Wuhan,sc_pre,w0_90,threshold,ht35,-0.0054,0.001,1.6417131384971206e-08,33627
Wuhan,sc_pre,w0_90,threshold,htp90,-0.0071,0.0012,3.884137103549037e-09,33627
Wuhan,sc_pre,w0_90,threshold,htp95,-0.0106,0.0018,2.547187974751587e-09,33627
Wuhan,sc_pre,w0_90,duration,hw2,-0.0057,0.001,1.680848737040382e-08,33627
Wuhan,sc_pre,w0_90,duration,hw3,-0.0057,0.0011,5.616635302919288e-08,33627
Wuhan,sc_pre,w0_90,duration,hw4,-0.0062,0.0011,1.3226932394920686e-08,33627
Wuhan,sc_pre,w0_90,duration,hwp95,-0.0137,0.0022,2.659669110829366e-10,33627
Wuhan,tsc,w70_90,threshold,ht30,-0.0107,0.002,9.25866928585198e-08,34709
Wuhan,tsc,w70_90,threshold,ht32,-0.0129,0.0019,2.8085703229817875e-11,34709
Wuhan,tsc,w70_90,threshold,ht35,-0.0146,0.0021,4.8561265825771e-12,34709
Wuhan,tsc,w70_90,threshold,htp90,-0.0191,0.0024,8.501876157899176e-16,34709
Wuhan,tsc,w70_90,threshold,htp95,-0.0236,0.0029,7.781268353588907e-16,34709
Wuhan,tsc,w70_90,duration,hw2,-0.0141,0.0021,7.964539843564019e-12,34709
Wuhan,tsc,w70_90,duration,hw3,-0.0133,0.0022,6.222677718095325e-10,34709
