outcome,exposure,n_obs,n_donors,n_obs_wuhan,n_obs_chongqing,n_donors_wuhan,n_donors_chongqing,beta_chongqing_sd_per10d,se_chongqing,beta_wuhan_sd_per10d,beta_interaction_sd_per10d,se_interaction,ci_low_interaction,ci_high_interaction,p_interaction,heterogeneous_at_0.05,outcome_label,tier,sample
volume,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.011,0.0129,-0.0746,-0.0637,0.0187,-0.1004,-0.027,0.0006735536713062872,yes,Semen volume,primary,locked complete-parameter analysis sample
sc_pre,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.0103,0.0107,0.0372,0.0476,0.0175,0.0133,0.0818,0.006491726110545264,yes,Pre-freezing sperm concentration,primary,locked complete-parameter analysis sample
tsc,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.0161,0.011,-0.064,-0.0479,0.0168,-0.0808,-0.015,0.004302044573932119,yes,Total sperm count,primary,locked complete-parameter analysis sample
pr_pre,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.0571,0.0081,0.0353,0.0924,0.0136,0.0658,0.119,1.0472807292847728e-11,yes,Pre-freezing progressive motility,primary,locked complete-parameter analysis sample
im_pre,ht35_w0_90,23673,6027,15530,8143,3263,2764,0.0547,0.008,-0.0621,-0.1168,0.0132,-0.1426,-0.091,6.75027780548992e-19,yes,Pre-freezing immotile fraction,primary,locked complete-parameter analysis sample
sc_post,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.0064,0.0088,0.0227,0.0291,0.0157,-0.0017,0.06,0.06444646892955509,no,Post-thaw sperm concentration,secondary post-thaw,locked complete-parameter analysis sample
pr_post,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.0017,0.0085,0.0097,0.0114,0.0143,-0.0167,0.0395,0.4250421570483013,no,Post-thaw progressive motility,secondary post-thaw,locked complete-parameter analysis sample
np_post,ht35_w0_90,23673,6027,15530,8143,3263,2764,-0.0181,0.0096,0.0505,0.0686,0.013,0.0432,0.094,1.246011489270117e-07,yes,Post-thaw non-progressive motility,secondary post-thaw,locked complete-parameter analysis sample
volume,ht32_w0_90,23673,6027,15530,8143,3263,2764,-0.0103,0.0102,-0.0467,-0.0365,0.0129,-0.0617,-0.0112,0.004634652812221144,yes,Semen volume,primary,locked complete-parameter analysis sample
sc_pre,ht32_w0_90,23673,6027,15530,8143,3263,2764,-0.0094,0.0086,0.0221,0.0315,0.0117,0.0086,0.0543,0.006891921689248084,yes,Pre-freezing sperm concentration,primary,locked complete-parameter analysis sample
tsc,ht32_w0_90,23673,6027,15530,8143,3263,2764,-0.0145,0.0088,-0.04,-0.0255,0.0116,-0.0482,-0.0027,0.028075585277381788,yes,Total sperm count,primary,locked complete-parameter analysis sample
pr_pre,ht32_w0_90,23673,6027,15530,8143,3263,2764,-0.0324,0.0072,0.0149,0.0474,0.0094,0.029,0.0657,4.180692784941584e-07,yes,Pre-freezing progressive motility,primary,locked complete-parameter analysis sample
im_pre,ht32_w0_90,23673,6027,15530,8143,3263,2764,0.0263,0.0075,-0.0369,-0.0632,0.0095,-0.0818,-0.0447,2.4863521001023606e-11,yes,Pre-freezing immotile fraction,primary,locked complete-parameter analysis sample
sc_post,ht32_w0_90,23673,6027,15530,8143,3263,2764,-0.0119,0.007,0.0084,0.0203,0.0102,0.0003,0.0403,0.046820029408640926,yes,Post-thaw sperm concentration,secondary post-thaw,locked complete-parameter analysis sample
pr_post,ht32_w0_90,23673,6027,15530,8143,3263,2764,0.0018,0.007,-0.0017,-0.0035,0.0096,-0.0222,0.0153,0.7182478511277072,no,Post-thaw progressive motility,secondary post-thaw,locked complete-parameter analysis sample
np_post,ht32_w0_90,23673,6027,15530,8143,3263,2764,0.0039,0.008,0.0153,0.0114,0.0095,-0.0072,0.03,0.23133711348005115,no,Post-thaw non-progressive motility,secondary post-thaw,locked complete-parameter analysis sample
