cohort,outcome,outcome_label,native_unit,exposure_metric,exposure_window,n_confirmatory_model,n_donors_confirmatory_model,n_locked_sample_for_SD,analysis_sample_sd,analysis_sample_median,beta_sd_units,ci_low_sd_units,ci_high_sd_units,effect_native_units,ci_low_native_units,ci_high_native_units,percent_of_median,p_value,q_value_bh
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,hwp95,w0_9,8102,2745,8144,2.1,2.0,0.2638,0.1764,0.3511,0.554,0.371,0.738,27.71,3.258530403790953e-09,4.236089524928239e-08
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,tmax,w0_9,8102,2745,8144,2.1,2.0,0.007,0.0029,0.0111,0.015,0.006,0.023,0.73,0.0009077868599297,0.0029503072947716
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,anyhw3,w0_9,8102,2745,8144,2.1,2.0,0.0473,-0.0112,0.1059,0.099,-0.024,0.223,4.97,0.1130798971815949,0.2027639535669977
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,hwp95,w0_90,8143,2763,8144,2.1,2.0,0.1905,0.1351,0.2459,0.4,0.284,0.517,20.01,1.5953413468632723e-11,3.555332144438149e-10
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,tmax,w0_90,8143,2763,8144,2.1,2.0,0.0076,0.0021,0.0131,0.016,0.004,0.027,0.8,0.0069228610291787,0.0196357512827616
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,anyhw3,w0_90,8143,2763,8144,2.1,2.0,-0.0709,-0.1289,-0.0129,-0.149,-0.271,-0.027,-7.45,0.0165556511016174,0.0441580673671605
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,hwp95,w15_69,8143,2763,8144,2.1,2.0,0.122,0.0635,0.1805,0.256,0.133,0.379,12.82,4.338545128609804e-05,0.0001933751543037
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,tmax,w15_69,8143,2763,8144,2.1,2.0,0.008,0.0033,0.0128,0.017,0.007,0.027,0.84,0.0009655384961213,0.0030739592937741
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,anyhw3,w15_69,8143,2763,8144,2.1,2.0,0.034,-0.0264,0.0943,0.071,-0.055,0.198,3.57,0.2700953614154694,0.3795934809082273
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,anyhw3,w70_90,8143,2763,8144,2.1,2.0,-0.1565,-0.2267,-0.0862,-0.329,-0.476,-0.181,-16.44,1.281421820018794e-05,7.403770515664142e-05
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,hwp95,w70_90,8143,2763,8144,2.1,2.0,0.0488,-0.0269,0.1245,0.103,-0.057,0.262,5.13,0.2066427493473411,0.3223626889818522
Chongqing,np_post,Post-thaw non-progressive motility,percentage points,tmax,w70_90,8143,2763,8144,2.1,2.0,-0.0024,-0.007,0.0022,-0.005,-0.015,0.005,-0.25,0.3119848680692475,0.4345503519535947
Chongqing,pr_post,Post-thaw progressive motility,percentage points,anyhw3,w0_9,8102,2745,8144,5.82,40.0,-0.0721,-0.1408,-0.0033,-0.419,-0.82,-0.019,-1.05,0.0400109567589811,0.0891672750628723
Chongqing,pr_post,Post-thaw progressive motility,percentage points,hwp95,w0_9,8102,2745,8144,5.82,40.0,-0.0657,-0.1608,0.0294,-0.383,-0.936,0.171,-0.96,0.1755601530597966,0.293147136622106
Chongqing,pr_post,Post-thaw progressive motility,percentage points,tmax,w0_9,8102,2745,8144,5.82,40.0,-0.0016,-0.0069,0.0038,-0.009,-0.04,0.022,-0.02,0.5688212144895419,0.6722432534876405
Chongqing,pr_post,Post-thaw progressive motility,percentage points,hwp95,w0_90,8143,2763,8144,5.82,40.0,-0.1625,-0.2413,-0.0836,-0.946,-1.405,-0.486,-2.36,5.431585752618169e-05,0.0002353687159467
Chongqing,pr_post,Post-thaw progressive motility,percentage points,anyhw3,w0_90,8143,2763,8144,5.82,40.0,-0.0907,-0.1604,-0.021,-0.528,-0.934,-0.122,-1.32,0.0107444827994814,0.0299310592271269
Chongqing,pr_post,Post-thaw progressive motility,percentage points,tmax,w0_90,8143,2763,8144,5.82,40.0,0.0046,-0.0021,0.0114,0.027,-0.012,0.066,0.07,0.1785190896096158,0.293147136622106
Chongqing,pr_post,Post-thaw progressive motility,percentage points,hwp95,w15_69,8143,2763,8144,5.82,40.0,-0.1805,-0.2632,-0.0979,-1.051,-1.532,-0.57,-2.63,1.8533120251365896e-05,9.96954054901062e-05
Chongqing,pr_post,Post-thaw progressive motility,percentage points,anyhw3,w15_69,8143,2763,8144,5.82,40.0,-0.1303,-0.2051,-0.0555,-0.758,-1.194,-0.323,-1.9,0.000639633664958,0.0021691924289881
Chongqing,pr_post,Post-thaw progressive motility,percentage points,tmax,w15_69,8143,2763,8144,5.82,40.0,0.0053,-0.0006,0.0112,0.031,-0.003,0.065,0.08,0.0761219479016669,0.1484377984082505
Chongqing,pr_post,Post-thaw progressive motility,percentage points,anyhw3,w70_90,8143,2763,8144,5.82,40.0,-0.0821,-0.1702,0.006,-0.478,-0.99,0.035,-1.19,0.0677208225903481,0.1372006275856404
Chongqing,pr_post,Post-thaw progressive motility,percentage points,tmax,w70_90,8143,2763,8144,5.82,40.0,0.0018,-0.004,0.0076,0.011,-0.023,0.044,0.03,0.5394146063242793,0.6518588297939512
Chongqing,pr_post,Post-thaw progressive motility,percentage points,hwp95,w70_90,8143,2763,8144,5.82,40.0,-0.0148,-0.1214,0.0918,-0.086,-0.706,0.534,-0.21,0.7859319865798847,0.8514263187948752
Chongqing,pr_pre,Pre-freezing progressive motility,percentage points,hwp95,w0_9,8102,2745,8144,3.91,53.0,-0.2961,-0.3784,-0.2138,-1.158,-1.48,-0.836,-2.18,1.7790855142513476e-12,6.938433505580256e-11
Chongqing,pr_pre,Pre-freezing progressive motility,percentage points,tmax,w0_9,8102,2745,8144,3.91,53.0,-0.0091,-0.0143,-0.0039,-0.036,-0.056,-0.015,-0.07,0.0006232048816048,0.0021604435895635
Chongqing,pr_pre,Pre-freezing progressive motility,percentage points,anyhw3,w0_9,8102,2745,8144,3.91,53.0,-0.0345,-0.1041,0.0352,-0.135,-0.407,0.138,-0.25,0.3325014346948532,0.451045424455627
